AnnoScolastico;CodScuola;Gestione;Denominazione;Indirizzo;MunicipioScuola;NilScuola;Capienza;Numero_Classi;Alunni_Tot;Alunni_M;Alunni_F;Alunni_Resid;Alunni_NonResid;Alunni_NazNasc_Italia;Alunni_NazNasc_UE15;Alunni_NazNasc_UE_Nuovi;Alunni_NazNasc_Europa_Altri;Alunni_NazNasc_Africa;Alunni_NazNasc_AmericaNord;Alunni_NazNasc_AmericaCentroSud;Alunni_NazNasc_Asia;Alunni_NazNasc_Altro_NonDisp;Alunni_Cittad_Ita;Alunni_Cittad_Non_Ita;Alunni_Cittad_NonDisp
2014/2015;2189;statale;NICCOLO' TOMMASEO;VI MUGGIANO 014;7;Muggiano (54);125;5;118;72;46;109;9;113;1;0;0;1;0;2;1;0;101;17;0
2014/2015;2190;statale;CARLO ZIMA E ANITA GARIBALDI;VI ANSELMO DA BAGGIO 060;7;Baggio (55);350;14;297;159;138;277;20;260;2;7;3;5;1;5;14;0;180;117;0
2014/2015;2191;statale;FRANCESCA SAVERIO CABRINI;VI DELLE FORZE ARMATE 065;7;Bande Nere (52);650;26;600;313;287;575;25;561;2;2;4;9;0;5;17;0;475;125;0
2014/2015;2193;statale;FRATELLI CERVI;VI DEI SALICI 002;7;Baggio (55);400;14;302;162;140;264;38;284;5;3;3;1;0;2;4;0;245;57;0
2014/2015;2196;statale;LUIGI EINAUDI;VI VAL D'INTELVI 011;7;Baggio (55);500;22;507;254;253;485;22;478;4;2;2;8;1;6;6;0;422;85;0
2014/2015;2198;statale;STATALE;VI VALDAGNO 008;7;Forze Armate (56);300;9;185;85;100;174;11;161;2;1;2;4;0;8;7;0;108;77;0
2014/2015;2201;statale;CARLO POMA;VI AIRAGHI GAETANO 042;7;Quinto Romano (62);250;9;152;74;78;144;8;141;1;0;1;2;0;4;3;0;123;29;0
2014/2015;2202;statale;LUCIANO MANARA;VI LAMENNAIS F R 020;7;Quarto Cagnino (61);225;11;217;100;117;199;18;205;0;3;0;2;0;3;4;0;186;31;0
2014/2015;2208;statale;IPPOLITO NIEVO;VI SILLA LUCIO CORNELIO 150;7;Figino (63);125;5;69;33;36;62;7;61;1;2;1;2;0;0;2;0;46;23;0
2014/2015;2214;statale;LUIGI CADORNA;VI DOLCI CARLO 005;7;Selinunte (57);625;18;393;215;178;371;22;314;3;5;3;46;0;7;15;0;165;228;0
2014/2015;2218;statale;STATALE;VI MONTE BALDO 011;7;S. Siro (60);275;10;231;126;105;222;9;211;3;0;0;12;1;1;3;0;181;50;0
2014/2015;2221;statale;GIUSEPPE LOMBARDO RADICE;VI PARAVIA PIER ALESSANDRO 083;7;S. Siro (60);225;5;110;55;55;93;17;55;0;4;4;38;0;5;4;0;18;92;0
2014/2015;2222;statale;SAN GIUSEPPE CALASANZIO;VI GNOCCHI DON CARLO 025;7;S. Siro (60);450;18;401;191;210;388;13;362;1;2;6;14;0;10;6;0;265;136;0
2014/2015;2300;statale;PRO JUVENTUTE ISTITUTO DON GNOCCHI;VI CAPECELATRO ALFONSO 066;7;S. Siro (60);0;5;66;37;29;42;24;57;1;0;1;4;0;3;0;0;50;16;0
2014/2015;2067;Paritaria;ISTITUTO SAN PAOLO DELLE SUORE ANGELICHE;VI BUONARROTI MICHELANGELO 049;8;De Angeli - Monte Rosa (58);;6;128;63;65;123;5;122;1;0;4;0;0;0;1;0;125;3;0
2014/2015;2070;Paritaria;REGINA CARMELI;VI MONVISO 033;8;Sarpi (69);;6;156;82;74;145;11;153;0;0;0;0;0;0;3;0;150;6;0
2014/2015;2076;Paritaria;LEONE XIII;VI LEONE XIII 012;8;Pagano (68);;16;401;215;186;379;22;380;5;0;5;1;5;3;2;0;388;13;0
2014/2015;2216;Paritaria;CASA DEI BAMBINI MONTESSORI;VI BARTOLINI LORENZO 046;8;Villapizzone (71);;5;95;51;44;80;15;90;2;0;1;0;0;0;2;0;90;5;0
