AnnoScolastico;CodScuola;Gestione;Denominazione;Indirizzo;MunicipioScuola;NilScuola;Capienza;Numero_Classi;Alunni_Tot;Alunni_M;Alunni_F;Alunni_Resid;Alunni_NonResid;Alunni_NazNasc_Italia;Alunni_NazNasc_UE15;Alunni_NazNasc_UE_Nuovi;Alunni_NazNasc_Europa_Altri;Alunni_NazNasc_Africa;Alunni_NazNasc_AmericaNord;Alunni_NazNasc_AmericaCentroSud;Alunni_NazNasc_Asia;Alunni_NazNasc_Altro_NonDisp;Alunni_Cittad_Ita;Alunni_Cittad_Non_Ita;Alunni_Cittad_NonDisp
2009/2010;2180;Paritaria;SANT'ANGELA MERICI;V. VESPRI SICILIANI 55;6;Giambellino (49);;10;217;97;120;162;55;213;0;1;1;0;0;0;2;0;199;9;9
2009/2010;2195;Paritaria;MADRE BUCCHI;V. PALMI 25;7;Forze Armate (56);;5;142;74;68;99;43;142;0;0;0;0;0;0;0;0;140;2;0
2009/2010;2166;Paritaria;LA ZOLLA;V. CARCANO GIULIO 53;5;Tibaldi (43);;15;317;158;159;254;63;309;2;0;1;0;0;4;1;0;311;1;5
2009/2010;2167;Statale;STATALE;V. SAN PAOLINO 4;6;Barona (46);375;9;179;76;103;162;17;170;0;0;0;4;0;4;1;0;144;34;1
2009/2010;2168;Statale;MORO ALDO;V. PESCARENICO 6;5;Stadera (42);300;15;301;141;160;285;16;289;0;2;1;2;0;4;3;0;266;34;1
2009/2010;2169;Statale;CAPPONI GINO;V. PESTALOZZI G.E. 13;6;S. Cristoforo (45);400;16;316;174;142;282;34;279;0;7;5;8;0;10;7;0;211;102;3
2009/2010;2170;Statale;STATALE;V. DE NICOLA ENRICO 2;6;Barona (46);350;13;256;129;127;239;17;246;3;0;1;4;0;2;0;0;200;56;0
2009/2010;2171;Statale;CASATI GABRIO;V. SAN COLOMBANO 8;6;Ronchetto sul Naviglio (48);250;5;109;64;45;101;8;102;0;3;0;3;0;0;1;0;98;11;0
2009/2010;2172;Statale;TRE CASTELLI;V. BALSAMO CRIVELLI RICCARDO 3;6;Ronchetto sul Naviglio (48);250;10;225;120;105;207;18;211;1;2;2;6;0;3;0;0;189;36;0
2009/2010;2173;Statale;PERTINI SANDRO;V. SALERNO 3;6;Ronchetto sul Naviglio (48);425;17;397;185;212;369;28;375;0;5;2;10;0;5;0;0;318;79;0
2009/2010;2174;Statale;FERRARIS GALILEO;V. BARONA 70;6;Barona (46);125;5;96;46;50;85;11;83;0;3;0;5;0;1;4;0;73;22;1
2009/2010;2176;Statale;STATALE;V. MASSAUA 5;7;Bande Nere (52);500;20;450;234;216;430;20;420;4;2;4;2;2;4;12;0;375;75;0
2009/2010;2164;Statale;STATALE;V. DELL' ARCADIA 22;5;Gratosoglio - Ticinello (41);625;15;295;148;147;283;12;284;1;4;2;0;0;4;0;0;263;31;1
2009/2010;2178;Statale;STATALE;V. DEGLI ANEMONI 8;6;Lorenteggio (53);300;15;276;129;147;238;38;254;0;3;0;10;0;6;1;2;228;41;7
2009/2010;2163;Statale;STATALE;V. FERABOLI ACHILLE 44;5;Gratosoglio - Ticinello (41);350;15;292;145;147;271;21;272;0;0;2;7;0;7;4;0;243;49;0
2009/2010;2181;Statale;SAURO NAZARIO;V. VESPRI SICILIANI 75;6;Giambellino (49);500;19;380;198;182;333;47;316;0;10;2;26;0;17;8;1;211;168;1
2009/2010;2182;Paritaria;SCUOLA COMUNITA' EBRAICA;V. MAYER SALLY 4;6;Bande Nere (52);;9;155;93;62;144;11;143;2;0;2;0;0;1;7;0;149;6;0
2009/2010;2183;Statale;GRIGIONI;V. SCROSATI LUIGI 3;6;Bande Nere (52);375;14;262;132;130;245;17;249;1;1;4;1;0;5;1;0;238;24;0
2009/2010;2185;Paritaria;DEVOTA MACULAN;V. INGANNI ANGELO 12;6;Lorenteggio (53);;10;221;117;104;138;83;217;0;0;1;0;0;1;2;0;216;2;3
2009/2010;2186;Statale;STATALE;V. DEI NARCISI 2;6;Lorenteggio (53);375;15;273;137;136;246;27;223;1;8;6;18;0;5;7;5;110;160;3
2009/2010;2187;Statale;STATALE;V. VITERBO 31;7;Forze Armate (56);375;12;246;118;128;227;19;234;0;2;1;2;0;6;1;0;209;36;1
2009/2010;2188;Statale;STATALE;V. DELLE FORZE ARMATE 279;7;Forze Armate (56);300;13;248;142;106;233;15;232;1;4;1;1;1;7;0;1;203;45;0
2009/2010;2189;Statale;TOMMASEO NICCOLO';V. MUGGIANO 14;7;Muggiano (54);125;5;107;47;60;101;6;102;1;0;1;1;0;1;1;0;99;7;1
2009/2010;2190;Statale;ZIMA CARLO E GARIBALDI ANITA;V. ANSELMO DA BAGGIO 60;7;Baggio (55);350;18;338;173;165;291;47;300;2;3;6;8;0;8;9;2;240;97;1
2009/2010;2191;Statale;CABRINI FRANCESCA SAVERIO;V. DELLE FORZE ARMATE 65;7;Bande Nere (52);650;26;572;311;261;535;37;544;2;3;3;2;0;14;4;0;477;94;1
2009/2010;2130;Statale;TOTI ENRICO;V. CIMA CAMILLO E OTTO 15;3;Lambrate (23);200;7;139;75;64;121;18;120;0;7;0;7;0;2;3;0;98;41;0
2009/2010;2177;Statale;STATALE;V. PISA UGO 1;6;Lorenteggio (53);400;16;330;165;165;309;21;314;4;2;4;3;0;1;0;2;303;27;0
2009/2010;2149;Statale;CHIESA DAMIANO;V. ANTONINI GIACOMO 50;5;Ripamonti (38);250;10;202;106;96;178;24;190;1;0;0;4;0;2;4;1;148;52;2
2009/2010;2131;Statale;MORANTE ELSA;V. PINI TOMMASO 3;3;Lambrate (23);475;14;317;167;150;277;40;271;1;15;4;11;0;12;3;0;224;93;0
2009/2010;2132;Paritaria;MARIA MATER MEA;V. PUSIANO 57;3;Parco Lambro - Cimiano (18);;5;126;56;70;63;63;123;0;0;0;1;0;2;0;0;84;5;37
2009/2010;2134;Statale;STATALE;V. FELTRE 68;3;Parco Lambro - Cimiano (18);375;19;395;214;181;365;30;382;0;7;0;2;0;2;2;0;356;37;2
2009/2010;2135;Statale;STATALE;V. CARNIA 32;3;Parco Lambro - Cimiano (18);300;12;258;131;127;228;30;216;0;6;7;11;0;13;3;2;165;93;0
2009/2010;2138;Statale;DECORATI AL VALOR CIVILE;V. DECORATI AL VALOR CIVILE 10;4;Mecenate (30);250;10;207;107;100;192;15;189;3;4;3;2;0;3;3;0;177;30;0
2009/2010;2139;Statale;MELERI GEREMIA;V. MELERI GEREMIA 14;4;Mecenate (30);225;11;234;126;108;228;6;222;0;3;2;2;0;3;2;0;199;35;0
2009/2010;2140;Statale;MADRE TERESA DI CALCUTTA;LG GUERRIERI GONZAGA ANSELMO 4;4;Mecenate (30);225;10;185;96;89;169;16;168;0;4;2;3;0;5;3;0;129;54;2
2009/2010;2141;Statale;SAN GIOVANNI BOSCO;V. SORDELLO LUIGI 7;4;Mecenate (30);225;5;98;37;61;96;2;95;0;0;1;1;0;0;1;0;75;23;0
2009/2010;2142;Statale;STATALE;V. UCELLI DI NEMI GUIDO 54;4;Parco Monlu+ - Ponte Lambro (31);200;10;161;93;68;142;19;131;0;6;2;5;0;16;1;0;91;70;0
2009/2010;2143;Statale;LORENZINI CARLO E DA FELTRE VITTORINO;V. POLESINE 12;4;Lodi - Corvetto (35);325;15;317;151;166;248;69;249;0;6;8;15;0;25;9;5;125;186;6
2009/2010;2144;Statale;STATALE;V. VALLARSA 19;5;Scalo Romana (36);250;10;239;132;107;223;16;217;0;2;1;5;0;7;7;0;168;70;1
2009/2010;2165;Statale;STATALE;V. BARONI COSTANTINO 73;5;Gratosoglio - Ticinello (41);325;12;229;129;100;212;17;211;1;1;0;7;0;4;5;0;149;80;0
2009/2010;2148;Statale;STATALE;V. DEI BOGNETTI GIOV. E GIAMP. 15;5;Ex OM - Morivione (37);350;15;286;162;124;252;34;268;0;2;5;3;0;5;3;0;255;25;6
2009/2010;2198;Statale;STATALE;V. VALDAGNO 8;7;Forze Armate (56);300;10;205;106;99;178;27;180;2;3;1;7;0;8;4;0;141;63;1
2009/2010;2150;Paritaria;SCUOLA EUROPA;VL MAJNO LUIGI 39;1;Guastalla (4);;8;127;73;54;101;26;114;6;1;2;0;1;2;1;0;113;14;0
2009/2010;2151;Paritaria;SAN VINCENZO REGINA MUNDI;V. BONCOMPAGNI CARLO 18;4;Lodi - Corvetto (35);;6;115;51;64;88;27;114;0;0;1;0;0;0;0;0;106;9;0
2009/2010;2152;Statale;PEZZANI RENZO;V. MARTINENGO FRANCESCO 34;4;Lodi - Corvetto (35);500;17;375;196;179;353;22;342;0;5;4;9;0;11;4;0;289;85;1
2009/2010;2153;Statale;STATALE;VL PUGLIE 4;4;Lodi - Corvetto (35);300;14;292;167;125;275;17;271;0;3;3;7;0;4;4;0;242;50;0
2009/2010;2154;Statale;SOTTOCORNO PASQUALE;V. MONTE PIANA 11;4;Rogoredo (33);350;15;352;182;170;322;30;292;3;12;0;21;1;17;4;2;269;81;2
2009/2010;2156;Statale;FERRARI WOLF ERMANNO;V. WOLF FERRARI ERMANNO 6;5;Ripamonti (38);425;21;468;249;219;434;34;437;1;11;2;3;1;6;7;0;405;52;11
2009/2010;2158;Paritaria;MERKOS L'INYONEI CHINUCH;V. DELLE FORZE ARMATE 61;7;Bande Nere (52);;5;52;24;28;50;2;34;5;0;0;0;5;0;8;0;46;6;0
2009/2010;2159;Paritaria;A. LIMONTA - ISTITUTO CANOSSIANE;V. TAGLIAMENTO 12;4;Lodi - Corvetto (35);;5;109;57;52;98;11;108;0;1;0;0;0;0;0;0;102;7;0
2009/2010;2160;Statale;BATTISTI CESARE;V. PALMIERI NICOLA 24;5;Stadera (42);375;17;354;179;175;300;54;288;2;11;9;17;0;13;14;0;178;174;2
2009/2010;2161;Paritaria;ISTITUTO MADRE COCCHETTI ANNNUNCIATA;VL GIOVANNI DA CERMENATE 4;5;Stadera (42);;5;121;46;75;80;41;119;1;0;0;0;1;0;0;0;118;2;1
2009/2010;2162;Statale;STATALE;V. SAN GIACOMO 1;5;Stadera (42);425;15;330;180;150;319;11;309;2;0;3;3;1;8;4;0;282;47;1
2009/2010;2147;Statale;FILZI FABIO;V. RAVENNA 15;4;Lodi - Corvetto (35);300;13;252;134;118;213;39;201;8;13;5;12;0;11;2;0;117;120;15
2009/2010;2300;Statale;PRO JUVENTUTE ISTITUTO DON GNOCCHI;V. CAPECELATRO ALFONSO 66;7;S. Siro (60);0;1;71;44;27;35;36;61;0;2;1;4;0;3;0;0;54;16;1
2009/2010;2192;Paritaria;MATER DIVINAE GRATIAE;V. GULLI TOMMASO 14;7;Bande Nere (52);;5;131;69;62;120;11;124;0;1;1;0;2;0;3;0;113;18;0
2009/2010;2234;Statale;MICCA PIETRO;V. GATTAMELATA 35;8;Portello (67);650;28;617;338;279;582;35;588;2;6;3;1;0;9;8;0;534;82;1
2009/2010;2235;Statale;BACHELET VITTORIO;V. MAGREGLIO 1;8;Villapizzone (71);275;9;156;95;61;126;30;132;4;5;1;7;0;5;1;1;100;55;1
2009/2010;2236;Statale;CAPPELLINI ALFREDO;V. DE ROSSI GIOVANNI BATTISTA 2;8;Villapizzone (71);450;14;327;174;153;290;37;287;2;10;2;8;0;8;10;0;198;127;2
2009/2010;2237;Paritaria;MARIA CONSOLATRICE;V. AMPEZZO 8;8;Villapizzone (71);;5;110;60;50;104;6;104;0;0;0;0;0;3;1;2;105;5;0
2009/2010;2239;Statale;PARETO VILFREDO;V. PARETO VILFREDO 26;8;Maggiore - Musocco (72);125;8;140;68;72;118;22;119;0;3;0;4;0;12;1;1;102;37;1
2009/2010;2240;Paritaria;FRANCESCANE DEL CUORE IMMACOLATO DI MARIA;V. GAREGNANO 10;8;Maggiore - Musocco (72);;4;58;31;27;47;11;53;0;1;3;0;0;1;0;0;52;6;0
2009/2010;2242;Statale;STATALE;V. TRILUSSA 10;8;Quarto Oggiaro (76);575;15;318;167;151;296;22;296;1;2;7;4;0;7;1;0;218;99;1
2009/2010;2243;Statale;STATALE;V. GRAF ARTURO 70;8;Quarto Oggiaro (76);425;16;286;154;132;251;35;249;0;14;5;9;0;4;5;0;187;98;1
2009/2010;2245;Paritaria;MANDELLI ANDREA;V. PAVONI LODOVICO 10;9;Dergano (79);;10;255;137;118;217;38;243;2;0;3;0;0;0;3;4;253;0;2
2009/2010;2246;Statale;SCARPA ANTONIO;V. CLERICETTI CELESTE 22;3;CittË Studi (22);375;16;283;144;139;257;26;245;6;5;5;0;2;11;9;0;242;39;2
2009/2010;2232;Paritaria;GIOVANNI XXIII;V. DE PREDIS GIOVANNI AMBROGIO 8;8;Villapizzone (71);;5;121;67;54;106;15;114;0;0;1;0;0;4;2;0;102;19;0
2009/2010;2249;Paritaria;ISTITUTO SANT'ANNA;V. MELORIA 3;8;De Angeli - Monte Rosa (58);;5;99;41;58;95;4;95;1;0;2;0;0;1;0;0;99;0;0
2009/2010;2231;Statale;DANTE ALIGHIERI;V. MAC MAHON 100;8;Villapizzone (71);125;8;151;85;66;126;25;115;1;9;1;10;0;6;9;0;71;78;2
2009/2010;2301;Paritaria;ISTITUTO PADRE BECCARO IL MANDORLO;V. COLONNA MARCANTONIO 24;8;Portello (67);;5;53;24;29;34;19;44;0;0;1;0;0;1;7;0;9;44;0
2009/2010;2302;Privata non paritaria;SIR JAMES HENDERSON SCHOOL;V. PISANI DOSSI CARLO ALBERTO 16;3;Parco Lambro - Cimiano (18);;15;279;140;139;144;135;157;55;1;1;4;20;3;31;7;168;45;66
2009/2010;2303;Paritaria;BES ELEMENTARY SCHOOL;V. VAL CISMON 9;9;Niguarda - CË Granda (14);;10;243;112;131;205;38;237;3;0;0;0;3;0;0;0;234;2;7
2009/2010;2304;Paritaria;ST.LOUIS SCHOOL;V. CAVIGLIA ENRICO 1;4;Lodi - Corvetto (35);;16;326;182;144;226;100;276;10;2;19;5;8;2;3;1;300;24;2
2009/2010;2305;Paritaria;PASTOR ANGELICUS;V. CITTADINI PIER FRANCESCO 5;8;Quarto Oggiaro (76);;5;105;45;60;77;28;104;0;1;0;0;0;0;0;0;101;2;2
2009/2010;2306;Paritaria;ISTITUTO SANT'AMBROGIO SALESIANO;V. COPERNICO 9;2;Centrale (10);;5;135;94;41;127;8;134;0;0;1;0;0;0;0;0;135;0;0
2009/2010;2307;Paritaria;FONDAZIONE JOSEF TEHILLOT;V. SARDEGNA 35;7;Washington (51);;5;55;26;29;47;8;40;4;0;2;0;0;0;8;1;39;16;0
2009/2010;2308;Paritaria;SCUOLA PRIMARIA DI EDUCAZIONE ALLO SPORT E ALLA MUSICA;V. SAN GIUSTO 65;7;Forze Armate (56);;10;215;117;98;211;4;210;0;1;1;0;0;3;0;0;202;13;0
2009/2010;2309;Privata non paritaria;SCUOLA STEINERIANA COMETA;V. PONTI ANDREA 16;6;Gratosoglio - Ticinello (41);;5;73;51;22;62;11;70;1;0;0;0;1;0;0;1;72;0;1
2009/2010;2310;Privata non paritaria;NAGIB MAHFUZ;V. STRATICO SIMONE 7;7;S. Siro (60);;7;161;82;79;79;82;86;2;0;0;72;0;0;1;0;9;104;48
2009/2010;2311;Privata non paritaria;ANDERSEN SCHOOL;V. SAN MARTINO DON CARLO 8;4;Corsica (25);;8;108;45;63;79;29;93;4;1;2;0;0;2;6;0;80;14;14
2009/2010;2248;Paritaria;LIBERA SCUOLA STEINERIANA;V. PINI TOMMASO 1;3;Lambrate (23);;5;85;47;38;43;42;80;2;0;0;0;0;2;1;0;80;3;2
2009/2010;2216;Paritaria;CASA DEI BAMBINI MONTESSORI;V. BARTOLINI LORENZO 46;8;Villapizzone (71);;5;73;38;35;61;12;64;1;2;2;0;2;1;1;0;66;5;2
2009/2010;2200;Paritaria;FIGLIE DI BETLEM;V. NOVARA 540;7;Figino (63);;5;87;47;40;24;63;70;1;0;1;0;0;0;1;14;85;0;2
2009/2010;2201;Statale;POMA CARLO;V. AIRAGHI GAETANO 42;7;Quinto Romano (62);250;10;166;90;76;154;12;154;2;0;3;0;0;4;2;1;139;26;1
2009/2010;2202;Statale;MANARA LUCIANO;V. FLLI ZOIA 10;7;Quarto Cagnino (61);225;10;215;113;102;196;19;209;0;1;2;0;0;3;0;0;191;23;1
2009/2010;2204;Paritaria;CASA DEI BAMBINI - SCUOLA MONTESSORI;V. AROSIO 3;7;S. Siro (60);;6;113;51;62;104;9;109;0;0;2;0;0;1;1;0;111;2;0
2009/2010;2206;Statale;STATALE;V. VISCONTI ALEX 16;8;Gallaratese (65);275;10;180;91;89;130;50;166;0;4;1;5;0;3;1;0;149;30;1
2009/2010;2207;Statale;STATALE;V. VISCONTINI MATILDE 7;8;Gallaratese (65);275;14;305;157;148;271;34;294;3;2;1;0;0;4;1;0;292;13;0
2009/2010;2208;Statale;NIEVO IPPOLITO;V. SILLA LUCIO CORNELIO 150;7;Figino (63);125;5;70;41;29;60;10;61;0;3;3;1;0;1;1;0;54;16;0
2009/2010;2210;Statale;STATALE;V. CILEA FRANCESCO 12;8;Gallaratese (65);300;10;189;90;99;168;21;179;0;2;0;1;0;5;2;0;160;29;0
2009/2010;2211;Statale;STATALE;V. DELLE ANDE 4;8;Gallaratese (65);250;10;218;111;107;207;11;213;0;1;0;0;0;3;1;0;201;17;0
2009/2010;2212;Statale;MARIA MONTESSORI;V. QUARENGHI GIACOMO 10;8;Gallaratese (65);125;5;111;52;59;102;9;107;1;0;0;0;1;1;1;0;109;2;0
2009/2010;2213;Statale;MASSA RICCARDO;V. BROCCHI VIRGILIO 5;8;Gallaratese (65);450;20;427;247;180;388;39;404;0;7;2;6;0;5;3;0;385;42;0
2009/2010;2233;Paritaria;LA ZOLLA;V. TRANCHEDINI NICODEMO 4;8;Portello (67);;10;240;133;107;223;17;232;4;1;1;0;0;1;1;0;238;2;0
2009/2010;2215;Privata non paritaria;INTERNATIONAL SCHOOL OF MILAN;V. PARAVIA PIER ALESSANDRO 5;7;S. Siro (60);;18;400;199;201;304;96;316;28;0;7;3;11;10;14;11;334;59;7
2009/2010;2193;Statale;FRATELLI CERVI;V. DEI SALICI 2;7;Baggio (55);400;16;322;166;156;275;47;308;3;2;1;2;0;6;0;0;275;47;0
2009/2010;2217;Paritaria;BEATA VERGINE;V. TERRAGNI GIUSEPPE 36;8;QT 8 (66);;5;107;57;50;90;17;106;0;0;0;0;0;1;0;0;102;5;0
2009/2010;2218;Statale;STATALE;V. MONTE BALDO 11;7;S. Siro (60);275;10;189;93;96;180;9;168;0;4;3;3;1;8;2;0;143;46;0
2009/2010;2220;Statale;LUTHER KING MARTIN;PZ SANTA MARIA NASCENTE 30;8;QT 8 (66);325;12;244;119;125;234;10;231;0;5;2;2;0;2;2;0;222;22;0
2009/2010;2221;Statale;RADICE LOMBARDO GIUSEPPE;V. PARAVIA PIER ALESSANDRO 83;7;S. Siro (60);225;6;105;46;59;96;9;76;0;0;1;12;0;12;4;0;16;89;0
2009/2010;2222;Statale;SAN GIUSEPPE CALASANZIO;V. GNOCCHI DON CARLO 25;7;S. Siro (60);450;19;382;185;197;363;19;351;2;5;4;4;0;7;9;0;281;101;0
2009/2010;2223;Paritaria;SANTA GIULIANA FALCONIERI;V. ZAMAGNA BERNARDO 18;7;S. Siro (60);;5;119;61;58;108;11;115;0;0;0;0;0;1;3;0;93;26;0
2009/2010;2224;Privata non paritaria;ECOLE FRANCAISE DE MILAN;V. LAVENO 12;7;S. Siro (60);;15;345;171;174;217;128;114;192;0;8;8;11;4;8;0;145;194;6
2009/2010;2227;Statale;GHERARDINI GIOVANNI;V. CITTADINI PIER FRANCESCO 9;8;Quarto Oggiaro (76);275;10;177;87;90;164;13;159;0;5;0;5;0;4;4;0;110;67;0
2009/2010;2228;Statale;STATALE;V. VAL LAGARINA 44;8;Quarto Oggiaro (76);325;15;314;159;155;290;24;302;0;0;2;2;0;2;6;0;249;65;0
2009/2010;2229;Statale;MAMELI GOFFREDO;V. CONSOLE MARCELLO 9;8;Villapizzone (71);600;19;411;219;192;341;70;331;4;14;7;14;0;19;22;0;165;243;3
2009/2010;2230;Statale;RINNOVATA PIZZIGONI;V. CASTELLINO DA CASTELLO 10;8;Villapizzone (71);625;25;590;289;301;566;24;572;1;3;1;3;0;8;2;0;504;86;0
2009/2010;2214;Statale;CADORNA LUIGI;V. DOLCI CARLO 5;7;Selinunte (57);625;23;351;174;177;316;35;296;0;6;5;24;0;10;10;0;162;189;0
2009/2010;2021;Statale;CUOCO VINCENZO;V. CORRIDONI FILIPPO 34;1;Guastalla (4);425;18;384;193;191;364;20;367;5;1;1;1;1;5;2;1;353;31;0
2009/2010;2005;Paritaria;PIO ISTITUTO BUON PASTORE;V. SAN VITTORE 29;1;Magenta - S. Vittore (7);;5;114;67;47;101;13;104;2;1;5;0;0;2;0;0;109;5;0
2009/2010;2006;Paritaria;COLLEGIO SAN CARLO;CS MAGENTA 71;1;Magenta - S. Vittore (7);;19;412;224;188;344;68;382;14;0;7;0;4;3;1;1;403;8;1
2009/2010;2007;Paritaria;SUORE MARCELLINE;PZ TOMMASEO NICOLO' 1;1;Magenta - S. Vittore (7);;7;146;55;91;128;18;137;3;0;2;0;1;2;1;0;142;4;0
2009/2010;2008;Statale;ELEONORA E FRATELLI RUFFINI;V. FLLI RUFFINI 4;1;Magenta - S. Vittore (7);475;20;385;208;177;373;12;360;5;3;4;3;5;3;2;0;343;41;1
2009/2010;2009;Statale;ROSSARI E CASTIGLIONI;V. DELLA SPIGA 29;1;Duomo (1);250;9;161;86;75;151;10;151;1;0;3;0;0;1;5;0;125;36;0
2009/2010;2010;Statale;VISCONTI CICERI;V. PALERMO 9;1;Brera (2);375;16;321;160;161;314;7;303;6;0;5;1;0;4;2;0;297;24;0
2009/2010;2013;Paritaria;SUORE FRANCESCANE MISSIONARIE DI GESU' BAMBINO;V. DELLA MOSCOVA 64;1;Brera (2);;5;76;42;34;74;2;75;0;0;0;0;0;1;0;0;58;18;0
2009/2010;2014;Privata non paritaria;SCUOLA GERMANICA;V. LEGNANO 24;1;Brera (2);;15;373;183;190;280;93;303;55;1;6;0;4;1;3;0;317;56;0
2009/2010;2015;Paritaria;ISTITUTO ZACCARIA;V. DELLA COMMENDA 5;1;Guastalla (4);;10;207;132;75;185;22;202;1;2;2;0;0;0;0;0;204;0;3
2009/2010;2016;Paritaria;MADRE CABRINI;CS PORTA ROMANA 105;1;Guastalla (4);;9;148;80;68;133;15;137;0;0;0;5;0;4;2;0;132;13;3
2009/2010;2017;Paritaria;ISTITUTO VITTORIA COLONNA;V. CONSERVATORIO 4;1;Guastalla (4);;14;266;127;139;242;24;244;6;0;5;1;4;3;2;1;255;10;1
2009/2010;2036;Statale;DA GIUSSANO ALBERTO;BS PORTA NUOVA 4;1;Brera (2);350;10;209;108;101;195;14;201;0;0;0;1;1;4;1;1;185;24;0
2009/2010;2020;Statale;PORTA CARLO E AGNESI GAETANA;V. QUADRONNO 32;1;Vigentina (5);525;23;485;261;224;469;16;468;7;0;3;1;1;3;2;0;460;20;5
2009/2010;2000;Statale;PINI PAOLO E LARISSA;V. STEFANARDO DA VIMERCATE 14;2;Viale Monza (16);675;5;60;35;25;34;26;53;0;0;1;3;0;2;0;1;48;12;0
2009/2010;2022;Paritaria;SUORE ORSOLINE DI SAN CARLO;V. LANZONE 53;1;Duomo (1);;8;200;93;107;182;18;192;2;0;1;0;0;3;1;1;186;13;1
2009/2010;2023;Statale;DE MARCHI EMILIO;V. SANT' ORSOLA 15;1;Duomo (1);400;15;274;128;146;259;15;254;3;0;2;0;1;9;5;0;238;35;1
2009/2010;2024;Statale;DIAZ ARMANDO;V. CROCEFISSO 15;1;Duomo (1);375;17;340;171;169;319;21;323;4;1;3;0;2;5;2;0;304;33;3
2009/2010;2025;Statale;CONVITTO NAZIONALE LONGONE;V. DEGLI OLIVETANI 9;1;Magenta - S. Vittore (7);0;6;124;72;52;121;3;122;0;0;0;0;1;1;0;0;118;6;0
2009/2010;2026;Statale;SETTI CARRARO DALLA CHIESA;V. PASSIONE 12;1;Guastalla (4);0;10;243;77;166;230;13;230;6;0;3;1;2;0;1;0;240;3;0
2009/2010;2027;Paritaria;MONTESSORI S.R.L;V. MILAZZO 9;1;Brera (2);;5;98;47;51;89;9;92;4;0;2;0;0;0;0;0;90;8;0
2009/2010;2028;Paritaria;NUOVA EDUCAZIONE;V. PACE 10;1;Guastalla (4);;5;64;40;24;59;5;63;1;0;0;0;0;0;0;0;62;0;2
2009/2010;2029;Privata non paritaria;ASSOCIAZIONE SCUOLA SVIZZERA;V. APPIANI ANDREA 21;1;Brera (2);;5;138;63;75;111;27;114;9;1;11;0;1;1;0;1;119;18;1
2009/2010;2032;Statale;GOVONE-CONFALONIERI;V. JACOPO DAL VERME 10;9;Isola (11);425;15;300;149;151;288;12;278;1;5;2;4;0;3;7;0;220;79;1
2009/2010;2034;Paritaria;F.A.E.S ARGONNE;V. GIOIA MELCHIORRE 42;2;Centrale (10);;5;116;116;0;104;12;109;1;1;3;0;1;0;1;0;116;0;0
2009/2010;2035;Paritaria;MARIA CONSOLATRICE;V. GIOIA MELCHIORRE 51;2;Isola (11);;14;361;190;171;337;24;354;0;0;2;0;1;2;0;2;349;12;0
2009/2010;2018;Paritaria;SUORE MARCELLINE;V. QUADRONNO 15;1;Vigentina (5);;5;126;48;78;117;9;115;6;0;2;0;0;3;0;0;123;3;0
2009/2010;2063;Statale;BAROZZI IACOPO;V. BOCCONI FERDINANDO 17;5;Vigentina (5);425;20;438;246;192;420;18;422;2;2;1;0;0;6;5;0;406;25;7
2009/2010;2196;Statale;EINAUDI LUIGI;V. VAL D'INTELVI 11;7;Baggio (55);500;20;465;232;233;440;25;447;0;4;4;3;0;4;2;1;400;65;0
2009/2010;2048;Statale;STOPPANI ANTONIO;V. STOPPANI ANTONIO 1;3;Buenos Aires - Venezia (21);350;17;329;180;149;323;6;303;4;1;10;3;1;3;4;0;286;42;1
2009/2010;2129;Paritaria;FONDAZIONE SACRO CUORE;V. ROMBON 78;3;Lambrate (23);;10;263;134;129;135;128;255;0;0;4;2;0;1;1;0;231;2;30
2009/2010;2052;Statale;MOROSINI EMILIO E DI SAVOIA BEATRICE;V. MOROSINI EMILIO 11;4;XXII Marzo (26);600;21;432;242;190;405;27;395;1;3;1;10;1;15;4;2;331;100;1
2009/2010;2053;Paritaria;MARIA AUSILIATRICE;V. BONVESIN DE LA RIVA 12;4;XXII Marzo (26);;5;130;60;70;114;16;124;0;1;3;1;0;1;0;0;121;5;4
2009/2010;2054;Statale;GROSSI TOMMASO;V. MONTE VELINO 2;4;Ortomercato (29);625;14;255;137;118;219;36;208;1;4;5;17;0;15;5;0;100;154;1
2009/2010;2055;Statale;OTTOLINI GIORDANO - BELGIOIOSO;V. COLLETTA PIETRO 49;4;Umbria - Molise (28);500;22;448;222;226;429;19;422;1;1;3;2;1;12;6;0;374;72;2
2009/2010;2056;Paritaria;SUORE MANTELLATE;V. VASARI GIORGIO 16;4;Porta Romana (27);;5;110;62;48;103;7;105;1;1;1;1;0;1;0;0;107;2;1
2009/2010;2057;Statale;THOUAR PIETRO E GONZAGA LUIGI;V. BRUNACCI VINCENZO 2;5;Ticinese (6);400;14;241;134;107;218;23;209;0;3;6;9;0;11;3;0;148;90;3
2009/2010;2058;Statale;STATALE;V. DELLE FOPPETTE 1;6;Tortona (50);275;10;200;107;93;191;9;191;0;1;0;2;1;0;5;0;168;31;1
2009/2010;2059;Statale;PORZI OBERDAN GIOVANNA;V. BERGOGNONE 2;6;Tortona (50);525;22;461;221;240;439;22;442;3;0;4;1;0;9;2;0;417;44;0
2009/2010;2003;Statale;D'INTIMIANO ARIBERTO - SANTA MADDALENA DI CANOSSA;V. ARIBERTO 14;1;Magenta - S. Vittore (7);550;20;434;210;224;419;15;412;6;1;2;1;1;7;4;0;389;45;0
